atcc_annotation,cell_line,eigenstrat,primary_site
,H2818,EA,pleura
,H2869,EA,pleura
,H290,EA,pleura
,H513,AA,pleura
,ISTMES1,EA,pleura
,ISTMES2,EA,pleura
,JL1,EA,pleura
,COLO680N,AA,oesophagus
,ECGI10,EAA,oesophagus
,ESO26,EA,oesophagus
,ESO51,EA,oesophagus
,FLO1,EA,oesophagus
,HCE4,AA,oesophagus
,KYAE1,EAA,oesophagus
,KYSE140,EAA,oesophagus
,KYSE150,EAA,oesophagus
,KYSE180,EAA,oesophagus
,KYSE220,EAA,oesophagus
,KYSE270,EAA,oesophagus
,KYSE30,EAA,oesophagus
,KYSE410,EAA,oesophagus
,KYSE450,EAA,oesophagus
,KYSE50,EAA,oesophagus
,KYSE510,EAA,oesophagus
,KYSE520,EAA,oesophagus
,KYSE70,EAA,oesophagus
,OACM51,EA,oesophagus
,201T,AA,lung
White,A427,EA,lung
White,A549,EA,lung
,ABC1,EAA,lung
,BEN,EA,lung
,CAL12T,EA,lung
White,CALU1,EA,lung
White,CALU3,EA,lung
White,CALU6,EA,lung
,CHAGOK1,EA,lung
,COLO668,NA,lung
,CORL105,EA,lung
,CORL23,EA,lung
,CORL24,EA,lung
,CORL279,EA,lung
,CORL303,EA,lung
,CORL311,EA,lung
,CORL32,EA,lung
,CORL321,EA,lung
,CORL47,EA,lung
,ALEXANDERCELLS,AA,liver
White,C3A,NA,liver
Black,HEP3B217,AA,liver
White,HEPG2,NA,liver
,HLE,EAA,liver
,HLF,EAA,liver
,HUH1,EAA,liver
,HUH6,EAA,liver
,HUH6CLONE5,EAA,liver
,HUH7,EAA,liver
,JHH1,EAA,liver
,JHH2,EAA,liver
,JHH4,EAA,liver
,JHH5,EAA,liver
,JHH6,EAA,liver
,JHH7,EAA,liver
,LI7,EAA,liver
,PLCPRF5,AA,liver
White,SKHEP1,EA,liver
Black,HCC1500,AA,breast
Black,HCC1569,AA,breast
White,HCC1599,EA,breast
Black,HCC1806,AA,breast
White,HCC1937,EA,breast
Asian,HCC1954,OA,breast
White,HCC202,EA,breast
Black,HCC2157,AA,breast
White,HCC2218,EA,breast
White,HCC38,EA,breast
Black,HCC70,AA,breast
,HDQP1,EA,breast
,HMC18,EAA,breast
,HMEL,AA,breast
White,HS274T,EA,breast
White,HS281T,EA,breast
White,HS343T,EA,breast
White,HS578T,EA,breast
White,HS606T,EA,breast
Asian,HS739T,EAA,breast
White,C2BBE1,EA,large_intestine
,CAR1,EAA,large_intestine
,CCK81,EAA,large_intestine
,CL11,EA,large_intestine
,CL14,EA,large_intestine
,CL34,EA,large_intestine
,CL40,EA,large_intestine
White,COLO205,EA,large_intestine
,COLO320,EA,large_intestine
White,COLO320HSR,EA,large_intestine
,COLO678,EA,large_intestine
,CW2,EAA,large_intestine
,DIFI,EA,large_intestine
,DLD1,EA,large_intestine
,GEO,AA,large_intestine
,GP2D,EA,large_intestine
,GP5D,EA,large_intestine
,HCC2998,EA,large_intestine
,HCC56,EAA,large_intestine
,HCT116,EA,large_intestine
,A3KAW,EAA,haematopoietic_and_lymphoid_tissue
,A4FUK,EAA,haematopoietic_and_lymphoid_tissue
,ALLPO,EA,haematopoietic_and_lymphoid_tissue
,ALLSIL,EA,haematopoietic_and_lymphoid_tissue
,AML193,AA,haematopoietic_and_lymphoid_tissue
,AMO1,EAA,haematopoietic_and_lymphoid_tissue
White,ARH77,EA,haematopoietic_and_lymphoid_tissue
,ATN1,EAA,haematopoietic_and_lymphoid_tissue
,BALL1,EAA,haematopoietic_and_lymphoid_tissue
,BC1,EA,haematopoietic_and_lymphoid_tissue
White,BC3,EA,haematopoietic_and_lymphoid_tissue
,BCP1,EA,haematopoietic_and_lymphoid_tissue
,BDCM,EA,haematopoietic_and_lymphoid_tissue
,BE13,EA,haematopoietic_and_lymphoid_tissue
,BL41,EA,haematopoietic_and_lymphoid_tissue
White,769P,EA,kidney
White,786O,EA,kidney
,A498,EA,kidney
,A704,AA,kidney
White,ACHN,EA,kidney
,BB65RCC,EA,kidney
,BFTC909,EAA,kidney
White,CAKI1,EA,kidney
White,CAKI2,EA,kidney
,CAL54,EA,kidney
,HA7RCC,EA,kidney
,HEKTE,EA,kidney
,HK2,EA,kidney
,KMRC1,EAA,kidney
,KMRC2,EAA,kidney
,KMRC20,EAA,kidney
,KMRC3,EAA,kidney
,BL70,EA,haematopoietic_and_lymphoid_tissue
,BONNA12,EA,haematopoietic_and_lymphoid_tissue
,BV173,EA,haematopoietic_and_lymphoid_tissue
,CA46,AA,haematopoietic_and_lymphoid_tissue
White,CCRFCEM,EA,haematopoietic_and_lymphoid_tissue
,LB1047RCC,EA,kidney
,LB2241RCC,EA,kidney
,LB996RCC,EA,kidney
,EW16,EA,bone
,EW18,EA,bone
,EW22,EA,bone
,EW24,EA,bone
,EW3,EA,bone
,EW7,EA,bone
,EW8,EA,bone
,EWS502,EA,bone
,G292CLONEA141B1,EA,bone
,HEMCSS,EAA,bone
White,HOS,EA,bone
White,HS706T,EA,bone
White,HS819T,EA,bone
White,HS821T,NA,bone
White,HS822T,NA,bone
White,HS863T,EA,bone
,HS870T,NA,bone
White,HS888T,EA,bone
,HUO3N1,EAA,bone
,HUO9,EAA,bone
White,HS840T,EA,upper_aerodigestive_tract
,HSC2,EAA,upper_aerodigestive_tract
,HSC3,EAA,upper_aerodigestive_tract
,HSC4,EAA,upper_aerodigestive_tract
,JHU011,EA,upper_aerodigestive_tract
,JHU022,EA,upper_aerodigestive_tract
,JHU029,AA,upper_aerodigestive_tract
,KON,EAA,upper_aerodigestive_tract
,KOSC2,EAA,upper_aerodigestive_tract
,LB771HNC,EA,upper_aerodigestive_tract
,OSC19,EAA,upper_aerodigestive_tract
,OSC20,EAA,upper_aerodigestive_tract
,PCI15A,EA,upper_aerodigestive_tract
,PCI30,EA,upper_aerodigestive_tract
,PCI38,EA,upper_aerodigestive_tract
,PCI4B,EA,upper_aerodigestive_tract
,PCI6A,EA,upper_aerodigestive_tract
,PECAPJ15,EA,upper_aerodigestive_tract
,PECAPJ34CLONEC12,EA,upper_aerodigestive_tract
,PECAPJ41CLONED2,EA,upper_aerodigestive_tract
White,SW780,EA,urinary_tract
White,T24,EA,urinary_tract
,TCCSUP,EA,urinary_tract
,UMUC1,AA,urinary_tract
,UMUC3,EA,urinary_tract
,VMCUB1,EA,urinary_tract
White,TE125T,NA,soft_tissue
White,TE159T,NA,soft_tissue
Black,TE441T,AA,soft_tissue
,TE617T,EA,soft_tissue
,CP67MEL,EA,skin
,DJM1,EAA,skin
White,G361,EA,skin
,GAK,EAA,skin
,GMEL,EA,skin
,GRM,EAA,skin
,HMCB,EA,skin
,HMVII,EAA,skin
White,HS294T,EA,skin
,HS600T,EA,skin
,HS688AT,EA,skin
White,HS695T,EA,skin
White,HS839T,EA,skin
Asian,HS852T,EAA,skin
White,HS895T,EA,skin
White,HS934T,EA,skin
,HS936T,EA,skin
White,HS939T,EA,skin
White,HS940T,EA,skin
White,HS944T,EA,skin
,MKN45,EAA,stomach
,MKN7,EAA,stomach
,MKN74,EAA,stomach
,NCCSTCK140,EAA,stomach
,NCIN87,AA,stomach
Asian,NCISNU1,EAA,stomach
Asian,NCISNU16,EAA,stomach
Asian,NCISNU5,EAA,stomach
,NUGC2,EAA,stomach
,NUGC3,EAA,stomach
,NUGC4,EAA,stomach
,OCUM1,EAA,stomach
,RERFGC1B,EAA,stomach
,RF48,NA,stomach
,SH10TC,EAA,stomach
,TGBC11TKB,EAA,stomach
,TMK1,EAA,stomach
White,PANC0203,EA,pancreas
White,PANC0213,EA,pancreas
White,PANC0327,EA,pancreas
White,PANC0403,EA,pancreas
White,PANC0504,EA,pancreas
White,PANC0813,EA,pancreas
White,PANC1,EA,pancreas
White,PANC1005,EA,pancreas
,PATU8902,EA,pancreas
,PATU8988S,EA,pancreas
,PATU8988T,EA,pancreas
,PK1,EAA,pancreas
,PK45H,EAA,pancreas
,PK59,EAA,pancreas
,PL18,EAA,pancreas
,PL4,EA,pancreas
White,PL45,EA,pancreas
,PSN1,EAA,pancreas
,QGP1,EAA,pancreas
,SUIT2,EAA,pancreas
,JHOM1,EAA,ovary
,JHOM2B,EAA,ovary
,JHOS2,EAA,ovary
,JHOS3,EAA,ovary
,JHOS4,EAA,ovary
,KGN,EAA,ovary
,KURAMOCHI,EAA,ovary
,MCAS,EAA,ovary
White,NIHOVCAR3,EA,ovary
,OAW28,EA,ovary
,OAW42,EA,ovary
,OC314,EA,ovary
,OC316,EA,ovary
,OELE,EA,ovary
,ONCODG1,EA,ovary
,OV17R,EA,ovary
,OV56,EA,ovary
,OV7,EA,ovary
,OV90,EA,ovary
,OVCA420,AA,ovary
,LN405,EA,central_nervous_system
,LNZTA3WT4,EA,central_nervous_system
,M059J,EA,central_nervous_system
,M059K,EA,central_nervous_system
,MOGGCCM,EA,central_nervous_system
,MOGGUVW,EA,central_nervous_system
,NMCG1,EAA,central_nervous_system
,ONS76,EAA,central_nervous_system
White,PFSK1,EA,central_nervous_system
,SF126,EA,central_nervous_system
,SF172,AA,central_nervous_system
,SF295,EA,central_nervous_system
White,SW1088,EA,central_nervous_system
White,SW1783,EA,central_nervous_system
White,T98G,EA,central_nervous_system
,TM31,EAA,central_nervous_system
White,U118MG,EA,central_nervous_system
White,U138MG,EA,central_nervous_system
,U178,EA,central_nervous_system
,U251,EA,central_nervous_system
,OACP4C,EA,oesophagus
,OE19,EA,oesophagus
,OE21,EA,oesophagus
,OE33,EA,oesophagus
,TE1,EAA,oesophagus
,TE10,EAA,oesophagus
,TE11,EAA,oesophagus
,TE12,EAA,oesophagus
,TE14,EAA,oesophagus
,TE15,EAA,oesophagus
,TE4,EAA,oesophagus
,TE5,EAA,oesophagus
,TE6,EAA,oesophagus
,TE8,EAA,oesophagus
,TE9,EAA,oesophagus
,T.T,EAA,oesophagus
,MPP89,EA,pleura
White,MSTO211H,EA,pleura
White,NCIH2052,EA,pleura
,NCIH2452,EA,pleura
White,NCIH28,AA,pleura
,CORL51,EA,lung
,CORL88,EA,lung
,CORL95,EA,lung
,CPCN,EA,lung
White,DMS114,EA,lung
White,DMS153,EA,lung
,DMS273,EA,lung
,DMS454,EA,lung
White,DMS53,EA,lung
White,DMS79,EA,lung
,DV90,EA,lung
,EBC1,EAA,lung
,EKVX,EA,lung
,EMCBAC1,AA,lung
,EMCBAC2,EA,lung
,EPLC272H,EA,lung
,H3255,EA,lung
,HARA,EAA,lung
,HCC1171,EA,lung
,HCC1195,AA,lung
White,HS742T,EA,breast
,JIMT1,EA,breast
,KPL1,EA,breast
White,MCF7,EA,breast
White,MDAMB134VI,EA,breast
Black,MDAMB157,AA,breast
Black,MDAMB175VII,AA,breast
White,MDAMB231,EA,breast
White,MDAMB330,EA,breast
White,MDAMB361,EA,breast
,MDAMB415,EA,breast
White,MDAMB436,EA,breast
White,MDAMB453,EA,breast
Black,MDAMB468,AA,breast
,MFM223,EA,breast
,MRKNU1,EAA,breast
,OCUBM,EAA,breast
White,SKBR3,EA,breast
,T47D,EA,breast
,UACC812,NA,breast
,HCT15,EA,large_intestine
,HRT18,EA,large_intestine
White,HS675T,EA,large_intestine
American Indian,HS698T,OA,large_intestine
,HT115,EA,large_intestine
White,HT29,EA,large_intestine
,HT55,EA,large_intestine
,KM12,EA,large_intestine
,LIM1215,EA,large_intestine
,LOVO,EA,large_intestine
White,LS1034,EA,large_intestine
White,LS123,EA,large_intestine
White,LS180,EA,large_intestine
White,LS411N,EA,large_intestine
White,LS513,EA,large_intestine
,MDST8,EA,large_intestine
White,NCIH508,EA,large_intestine
,NCC010,EAA,kidney
,NCC021,EAA,kidney
,OSRC2,EAA,kidney
,RCC10RGB,EAA,kidney
,RCC4,EA,kidney
,RCCAB,EA,kidney
,RCCER,EA,kidney
,RCCFG2,EA,kidney
,RCCJF,EA,kidney
,RCCJW,EA,kidney
,RCCMF,EA,kidney
,TK10,EA,kidney
,TUHR10TKB,EAA,kidney
,TUHR14TKB,EAA,kidney
,TUHR4TKB,EAA,kidney
,U031,EA,kidney
,UMRC2,EA,kidney
,UMRC6,AA,kidney
,NCIH630,EA,large_intestine
White,NCIH716,NA,large_intestine
White,NCIH747,EA,large_intestine
,UOK101,EA,kidney
,VMRCRCW,EA,kidney
White,MG63,EA,bone
,MHHES1,EA,bone
,NOS1,EAA,bone
,NY,EAA,bone
,OUMS27,EAA,bone
White,RDES,EA,bone
Black,SJSA1,AA,bone
White,SKES1,EA,bone
White,SKNMC,EA,bone
,TASK1,EAA,bone
,TC32,EA,bone
,TC71,EA,bone
White,U2OS,EA,bone
White,UCH2,EA,bone
White,VAESBJ,EA,bone
White,CESS,EA,haematopoietic_and_lymphoid_tissue
,CI1,EA,haematopoietic_and_lymphoid_tissue
,CMK,EAA,haematopoietic_and_lymphoid_tissue
,CMK115,EAA,haematopoietic_and_lymphoid_tissue
,CMK86,EAA,haematopoietic_and_lymphoid_tissue
,CMLT1,EAA,haematopoietic_and_lymphoid_tissue
,COLO775,AA,haematopoietic_and_lymphoid_tissue
,CROAP2,EA,haematopoietic_and_lymphoid_tissue
,CROAP3,EA,haematopoietic_and_lymphoid_tissue
,CTB1,EAA,haematopoietic_and_lymphoid_tissue
,CTV1,EA,haematopoietic_and_lymphoid_tissue
Black,DAUDI,AA,haematopoietic_and_lymphoid_tissue
White,DB,EA,haematopoietic_and_lymphoid_tissue
,DEL,EA,haematopoietic_and_lymphoid_tissue
White,DG75,EA,haematopoietic_and_lymphoid_tissue
,DND41,EA,haematopoietic_and_lymphoid_tissue
,DOHH2,EA,haematopoietic_and_lymphoid_tissue
Black,EB1,AA,haematopoietic_and_lymphoid_tissue
Black,EB2,AA,haematopoietic_and_lymphoid_tissue
Black,EB3,AA,haematopoietic_and_lymphoid_tissue
,PECAPJ49,EA,upper_aerodigestive_tract
,SCC15,EA,upper_aerodigestive_tract
,SCC25,EA,upper_aerodigestive_tract
,SCC4,EA,upper_aerodigestive_tract
,SCC9,EA,upper_aerodigestive_tract
,UDSCC2,EA,upper_aerodigestive_tract
,YD10B,EAA,upper_aerodigestive_tract
,YD38,EAA,upper_aerodigestive_tract
,YD8,EAA,upper_aerodigestive_tract
White,HT144,EA,skin
,IGR1,EA,skin
,IGR37,EA,skin
,IGR39,EA,skin
,IPC298,EA,skin
,ISTMEL1,EA,skin
,K029AX,EA,skin
,K2,EA,skin
,LB2518MEL,EA,skin
,LB373MELD,EA,skin
,LOXIMVI,EA,skin
,M14,EA,skin
White,MALME3M,EA,skin
,MCC13,EA,skin
,MCC26,EA,skin
White,MDAMB435S,EA,skin
,MELHO,EA,skin
,MELJUSO,EA,skin
White,MEWO,EA,skin
,MMACSF,EAA,skin
White,SW1990,EA,pancreas
,T3M4,EAA,pancreas
,TCCPAN2,EAA,pancreas
,YAPC,EAA,pancreas
,U251MG,EA,central_nervous_system
,U87MG,EA,central_nervous_system
,YH13,EAA,central_nervous_system
,YKG1,EAA,central_nervous_system
,HCC15,AA,lung
,HCC1897,AA,lung
,HCC2279,EAA,lung
White,HCC2935,EA,lung
,HCC33,EA,lung
,HCC366,EA,lung
White,HCC4006,EA,lung
,HCC44,EA,lung
,HCC78,EA,lung
White,HCC827,EA,lung
,HCC95,EA,lung
,OVCA433,EA,ovary
,OVCAR4,EA,ovary
,OVCAR5,EA,ovary
,OVCAR8,EA,ovary
,OVISE,EAA,ovary
,OVK18,EAA,ovary
,OVKATE,EAA,ovary
,OVMANA,EAA,ovary
,OVMIU,EAA,ovary
,OVSAHO,EAA,ovary
,OVTOKO,EAA,ovary
White,PA1,NA,ovary
,PEO1,EA,ovary
,RMGI,EAA,ovary
,RMUGS,EAA,ovary
White,SW626,EA,ovary
,TOV112D,EA,ovary
,TOV21G,EA,ovary
,TYKNU,EAA,ovary
,HLC1,EAA,lung
Black,HLFA,AA,lung
,HOP62,EA,lung
,HOP92,EA,lung
,HS229T,EA,lung
,HS618T,NA,lung
,IALM,EAA,lung
,ISTSL1,EA,lung
,ISTSL2,EA,lung
,UWB1289,EA,ovary
White,UACC893,EA,breast
,YMB1,EA,breast
,YMB1E,EA,breast
White,ZR751,EA,breast
Black,ZR7530,AA,breast
,OUMS23,EAA,large_intestine
,RCM1,EAA,large_intestine
,RKO,AA,large_intestine
White,SKCO1,EA,large_intestine
White,SW1116,EA,large_intestine
White,SW1417,EA,large_intestine
White,SW1463,EA,large_intestine
White,SW403,EA,large_intestine
White,SW48,EA,large_intestine
White,SW620,EA,large_intestine
White,SW837,EA,large_intestine
White,SW948,EA,large_intestine
,T84,EA,large_intestine
,VMRCRCZ,EA,kidney
,EHEB,EA,haematopoietic_and_lymphoid_tissue
